investSessionId,userId,sex,age,chapterId,avgNotKeep,click,avgCashRatio,avgStayTime,highBuyRatio,lowBuyRatio,midBuyRatio,highSellRatio,lowSellRatio,midSellRatio,tagTrunDuraion,betMidShares,betHighShares,betBuyRatio,betSellRatio,investPro
session_0001,user_001,M,7,chapter_3,1,4,0.8,10.92,0.04,0.84,0.13,0.1,0.85,0.17,18.76,0,0,0.06,0.04,안정형
session_0002,user_001,M,7,chapter_2,3,3,0.56,16.84,0.06,0.52,0.18,0.11,0.53,0.25,18.56,2,1,0.15,0.13,안정추구형
session_0003,user_001,M,7,chapter_4,4,4,0.39,27.49,0.3,0.36,0.44,0.26,0.42,0.32,25.65,3,2,0.21,0.26,위험중립형
session_0004,user_001,M,7,chapter_3,5,7,0.11,32.64,0.33,0.2,0.3,0.31,0.21,0.21,26.84,2,2,0.31,0.36,적극투자형
session_0005,user_001,M,7,chapter_4,6,8,0.07,30.84,0.67,0.02,0.26,0.67,0.03,0.16,34.62,3,5,0.48,0.52,공격투자형
session_0006,user_001,M,7,chapter_4,1,4,0.8,18.58,0.01,0.73,0.11,0.1,0.79,0.12,10.5,1,0,0.01,0.04,안정형
session_0007,user_001,M,7,chapter_1,3,4,0.54,21.92,0.11,0.54,0.2,0.14,0.65,0.23,21.87,2,1,0.17,0.18,안정추구형
session_0008,user_001,M,7,chapter_2,3,5,0.32,27.58,0.28,0.38,0.47,0.27,0.47,0.33,28.43,3,1,0.3,0.3,위험중립형
session_0009,user_001,M,7,chapter_4,4,10,0.23,28.25,0.33,0.18,0.29,0.41,0.14,0.22,28.82,2,2,0.3,0.34,적극투자형
session_0010,user_001,M,7,chapter_2,5,8,0.07,35.67,0.62,0.03,0.29,0.65,0.03,0.11,30.67,4,4,0.42,0.47,공격투자형
session_0011,user_002,M,8,chapter_3,1,1,0.92,10.88,0.04,0.82,0.12,0.06,0.83,0.17,16.45,1,0,0.1,0.03,안정형
session_0012,user_002,M,8,chapter_2,3,4,0.58,19.8,0.14,0.7,0.27,0.19,0.55,0.28,19.17,2,1,0.15,0.15,안정추구형
session_0013,user_002,M,8,chapter_2,4,7,0.37,20.35,0.17,0.3,0.49,0.22,0.48,0.31,25.48,3,2,0.26,0.29,위험중립형
session_0014,user_002,M,8,chapter_4,5,6,0.12,29.21,0.31,0.26,0.29,0.3,0.21,0.37,31.44,4,3,0.36,0.33,적극투자형
session_0015,user_002,M,8,chapter_4,5,12,0.02,34.72,0.62,0.03,0.19,0.69,0.0,0.15,37.27,5,4,0.48,0.44,공격투자형
session_0016,user_002,M,8,chapter_3,1,1,0.88,14.5,0.05,0.75,0.12,0.08,0.94,0.13,16.35,1,0,0.0,0.07,안정형
session_0017,user_002,M,8,chapter_3,3,6,0.67,23.45,0.06,0.54,0.2,0.19,0.59,0.24,21.66,2,0,0.16,0.19,안정추구형
