investSessionId,userId,avgNotKeep,click,avgCashRatio,avgStayTime,highBuyRatio,lowBuyRatio,midBuyRatio,highSellRatio,lowSellRatio,midSellRatio,tagTrunDuraion,betMidShares,betHighShares,betBuyRatio,betSellRatio,age,sex
b'\x1cM\xa2\x9b\xc6\xa8\x90A\xd1\xbd\x13\xc8aE?\xbb',237aac1b-4d6f-4ca9-9e4f-30719ea5967d,0.0,0.0,-1.8571428571428572,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:24.750000,,,,,24,M
b' J\xe4QK<\x7f\xdb\x12K\xc2\x1c\xd3.\xa6\xa1',237aac1b-4d6f-4ca9-9e4f-30719ea5967d,1.0,1.0666666666666667,-0.7537142857142856,3.8,0.5,0.3888888888888889,0.1111111111111111,1.0,0.0,0.0,0 days 00:00:04,,,,,24,M
"b'""O\xcf1){(\x13\x9c_k[\xf4i\xcc\xa0'",f0220d43-513a-4619-973d-4ed84a42bf6a,1.0,0.9444444444444444,-0.23595238095238089,48.833333333333336,0.5882352941176471,0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0 days 00:01:07.250000,4.0,4.0,0.3333333333333333,,24,M
b'>N\xea\x92\x1eT\x04\xcb\xeeC\xf6V\xa6\xbd\x95\xbf',956f51a8-d6a0-4a12-a22b-9da3cdffc879,1.0,1.2222222222222223,-0.5483333333333332,22.833333333333332,0.16666666666666666,0.5555555555555556,0.2777777777777778,0.25,0.0,0.75,0 days 00:00:10.250000,4.0,2.0,0.6666666666666666,1.0,24,M
b'mB\xda\xce\xd4\x97\xfc\x83\xbd)\xa9 1t\x98\xab',237aac1b-4d6f-4ca9-9e4f-30719ea5967d,1.0,1.3333333333333333,0.68,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0 days 00:00:07,,,,,24,M
b'oD?\xe6a$w\xc7Br\x02~c)\x89\xa3',f0220d43-513a-4619-973d-4ed84a42bf6a,1.0,1.1111111111111112,-0.32523809523809516,6.0,0.45,0.0,0.55,0.0,0.0,0.0,0 days 00:00:06.500000,7.0,5.0,0.3333333333333333,,24,M
b'\x83H}\xe9;\x86$<le\x02\xb9C\x116\xb0',f0220d43-513a-4619-973d-4ed84a42bf6a,1.0,1.1666666666666667,-0.12619047619047624,13.166666666666666,0.5238095238095238,0.047619047619047616,0.42857142857142855,0.0,0.0,0.0,0 days 00:00:08.500000,6.0,7.0,0.5,,24,M
"b""\x84L\xeb\xb7*>7\xdcu'+|\x95\xc6&\x93""",956f51a8-d6a0-4a12-a22b-9da3cdffc879,1.0,1.4444444444444444,-0.10119047619047625,14.5,0.19047619047619047,0.5714285714285714,0.23809523809523808,0.4,0.0,0.6,0 days 00:00:15,3.0,3.0,0.6666666666666666,0.0,24,M
b'\x8fCj\x9a\xb0\x04[~2d\xb2\x96\xf9x\x12\xba',956f51a8-d6a0-4a12-a22b-9da3cdffc879,0.8333333333333334,1.2222222222222223,0.12785714285714286,7.166666666666667,0.15789473684210525,0.5263157894736842,0.3157894736842105,0.0,0.0,1.0,0 days 00:00:06.500000,4.0,2.0,0.6666666666666666,0.0,24,M
b'\x94@\x84\xdb\x006\x9c\xa5\xed\x84N\xadZs\xb7\xb5',f0220d43-513a-4619-973d-4ed84a42bf6a,1.0,1.1111111111111112,-0.38642857142857145,18.166666666666668,0.3888888888888889,0.2222222222222222,0.3888888888888889,1.0,0.0,0.0,0 days 00:00:17.750000,4.0,5.0,0.3333333333333333,0.0,24,M
b'\xa0Om&\xef\t\x15\x8b\xab^\x91\x02\x121d\x88',237aac1b-4d6f-4ca9-9e4f-30719ea5967d,1.0,1.0,-0.8104761904761904,17.5,0.375,0.5,0.125,0.0,0.0,1.0,0 days 00:00:04.500000,,,,,24,M
b'\xa7G\x0f\xe4\xd1\xee.\x86\xd6\xf7\x13\x0f\xd4\xf4\xa3\xb8',237aac1b-4d6f-4ca9-9e4f-30719ea5967d,0.6666666666666666,1.4444444444444444,-1.5276190476190474,12.333333333333334,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0 days 00:00:09,,,,,24,M
b'\xcfH\x81\x02\xa6\xd4\xa7\x90\xf6}k\xa6\xa4\xd4K\x90',237aac1b-4d6f-4ca9-9e4f-30719ea5967d,0.0,0.0,-1.8571428571428572,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:01.250000,,,,,24,M
b'\xeaD\xbe\xab\xdd\x1fu\x07\xb7\xe4\xa1\xbb\xda\xee\x80\x8f',f0220d43-513a-4619-973d-4ed84a42bf6a,0.8333333333333334,1.1111111111111112,-0.22452380952380946,21.166666666666668,0.3,0.35,0.35,0.0,0.0,0.0,0 days 00:00:29,7.0,6.0,0.5,,24,M
b'\xffKo\x92\xaf\xdd<\xe4\x82\x95c\xf6\x1c\xcf\xbb\xbd',956f51a8-d6a0-4a12-a22b-9da3cdffc879,1.0,1.2777777777777777,0.2283333333333334,13.666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0 days 00:00:09.750000,7.0,4.0,0.25,,24,M
